similarity_pct,product_a,product_b
97%,ULTIMATE SOCKET 13A 1G BSS - SCHNEIDER,ULTIMATE SOCKET 13A 2G BSS - SCHNEIDER
97%,GI CABLE TRAY COVER 300X50MM 2.44MTR,GI CABLE TRAY COVER 100X50MM 2.44MTR
97%,GI CABLE TRAY COVER 300X50MM 2.44MTR,GI CABLE TRAY COVER 200x50MM  2.44MTR
97%,GI CABLE TRAY COVER 150X50MM 2.44MTR,GI CABLE TRAY COVER 100X50MM 2.44MTR
97%,GI CABLE TRAY COVER 100X50MM 2.44MTR,GI CABLE TRAY COVER 200x50MM  2.44MTR
97%,IND WALL SOCKET 415V 32A 3P+N+E - IP67,IND WALL SOCKET 415V 63A 3P+N+E - IP67
97%,IND MALE PLUG 220V 32A 2P+E - (PCE) IP67,IND MALE PLUG 220V 63A 2P+E - (PCE) IP67
97%,IND MALE PLUG 380/415V 32A  3P+N+E - PCE,IND MALE PLUG 380/415V 32A  3P+E - PCE
97%,IND MALE PLUG 220V 63A 2P+E - (PCE) IP67,IND MALE PLUG 220V 16A 2P+E  - (PCE) IP67
97%,IND MULTIPLE OUTLET 220V 16A 2P+E - 2W,IND MULTIPLE OUTLET 220V 16A 2P+E - 3W
97%,IND MOBILE SOCKET 415V 16A 3P+N+E (PCE),IND MOBILE SOCKET 415V 16A 3P+E -PCE
97%,METAL HALLIDE/SODIUM BALLAST 150W - VS,METAL HALLIDE/SODIUM BALLAST 250W - VS
97%,PIGMY LAMP 240V 25W E14 (OVEN 300C) - GE,PIGMY LAMP 240V 15W E14 (OVEN 300C) - GE
97%,SOLDERING IRON 100W 240V HD - CROWNMAN,SOLDERING IRON 150W 240V HD - CROWNMAN
97%,SOLDERING IRON 100W 240V HD - CROWNMAN,SOLDERING IRON 200W 240V HD - CROWNMAN
97%,SOLDERING IRON 100W 240V HD - CROWNMAN,SOLDERING IRON 300W 240V HD - CROWNMAN
97%,SOLDERING IRON 200W 240V HD - CROWNMAN,SOLDERING IRON 300W 240V HD - CROWNMAN
97%,HOLE SAW CUTTER W/ARBOUR 25MM - STRIKE,HOLE SAW CUTTER W/ARBOUR 20MM - STRIKE
97%,HOLE SAW CUTTER W/ARBOUR 25MM - TOLSEN,HOLE SAW CUTTER W/ARBOUR 32MM - TOLSEN
97%,HOLE SAW CUTTER W/ARBOUR 25MM - TOLSEN,HOLE SAW CUTTER W/ARBOUR 50MM - TOLSEN
97%,HOLE SAW CUTTER W/ARBOUR 25MM - TOLSEN,HOLE SAW CUTTER W/ARBOUR 20MM - TOLSEN
97%,HOLE SAW CUTTER W/ARBOUR 32MM - TOLSEN,HOLE SAW CUTTER W/ARBOUR 20MM - TOLSEN
97%,HOLE SAW CUTTER W/ARBOUR 50MM - TOLSEN,HOLE SAW CUTTER W/ARBOUR 20MM - TOLSEN
97%,MAGNETIC CONTACTOR 48V 25A - SCHNEIDER,MAGNETIC CONTACTOR 48V 32A - SCHNEIDER
97%,LED STRIP 12V COB 5M 320F8 WH - V MAX,LED STRIP 12V COB 5M 320F8 WW - V MAX
97%,LED FLOOD LIGHT 100W WH IP65 - INDIGO,LED FLOOD LIGHT 150W WH IP65- INDIGO
97%,CABLE FLEXIBLE 2CX1.00MM FIG8 LOOSE,CABLE FLEXIBLE 2CX1.50MM FIG8 - LOOSE
97%,CABLE FLEXIBLE 3Cx1.5MM BLACK LOOSE,CABLE FLEXIBLE 3CX2.5MM BLACK (LOOSE)
97%,CABLE SINGLE CORE H.PROOF 2.5MM - PRC,CABLE SINGLE CORE H.PROOF 1.5MM - PRC
97%,CABLE FLEXIBLE 3CX6.0MM 100YDS - MESC,CABLE FLEXIBLE 3CX4.0MM  100YDS  - MESC
97%,CABLE FLEXIBLE 3Cx1.5MM - 100YDS (MESC),CABLE FLEXIBLE 3CX2.5MM - 100YDS (MESC)
97%,PVC SPIRAL BAND SPLIT TYPE M25X3MTR,PVC SPIRAL BAND SPLIT TYPE M25X5MTR
97%,SW SOCKET 13A 1G W/USB (GOLDEN) -CHINT,SW SOCKET 13A 2G W/USB  (GOLDEN) -CHINT
97%,SWITCH M/CLAD 10A 2G 2WAY  1W - HAILAR,SWITCH M/CLAD 10A 3G 2WAY 1W - HAILAR
97%,CARTRIDGE FUSE 6X25 FOR TOP PLUG 3A,CARTRIDGE FUSE 6X25 FOR TOP PLUG 5A
97%,CEILING MOUNT EX FAN 200MM - BRIZ AIR,CEILING MOUNT EX FAN 250MM - BRIZ AIR
97%,CEILING MOUNT EX FAN - XPELAIR CMF271,CEILING MOUNT EX FAN - XPELAIR CMF241
97%,CEILING MOUNT EX FAN - XPELAIR CMF271,CEILING MOUNT EX FAN - XPELAIR CMF171
97%,DRILL BIT HSS 14MM,DRILL BIT HSS 4MM
97%,IND MALE PLUG 380/415V 63A 3P+E - (PCE),IND MALE PLUG 380/415V 32A  3P+E - PCE
97%,IND MOBILE SOCKET 415V 63A 3P+E (PCE),IND MOBILE SOCKET 415V 16A 3P+E -PCE
97%,TELEPHONE CABLE 2PAIR 500MTR - TEEKAB,TELEPHONE CABLE 2PAIR 100MTR - TEEKAB
97%,TELEPHONE CABLE 2PAIR 500MTR - TEEKAB,TELEPHONE CABLE 2PAIR 200MTR - TEEKAB
97%,TELEPHONE CABLE 2PAIR 100MTR - TEEKAB,TELEPHONE CABLE 2PAIR 200MTR - TEEKAB
97%,RCCB 4P 100A 300MA 240V-HYUNDAI / L&T,RCCB 2P 100A 300MA 240V-HYUNDAI / L&T
97%,WIRE JUMBER 1.3MM X 50MTR  - LUCKY SKY,WIRE JUMBER 1.8MM X 50MTR  - LUCKY SKY
97%,AUTO TRANSFORMER 220-110V 1000VA SP,AUTO TRANSFORMER 220-110V 3000VA SP
97%,AUTO TRANSFORMER 220-110V 1000VA SP,AUTO TRANSFORMER 220-110V 5000VA SP
97%,AUTO TRANSFORMER 220-110V 1000VA SP,AUTO TRANSFORMER 220-110V 1500VA SP
97%,AUTO TRANSFORMER 220-110V 1000VA SP,AUTO TRANSFORMER 220-110V 2000VA SP
97%,AUTO TRANSFORMER 220-110V 3000VA SP,AUTO TRANSFORMER 220-110V 5000VA SP
97%,AUTO TRANSFORMER 220-110V 3000VA SP,AUTO TRANSFORMER 220-110V 2000VA SP
97%,AUTO TRANSFORMER 220-110V 5000VA SP,AUTO TRANSFORMER 220-110V 1500VA SP
97%,AUTO TRANSFORMER 220-110V 5000VA SP,AUTO TRANSFORMER 220-110V 2000VA SP
97%,"EMT ROUND J BOX WITH COVER 3/4"" 4WAY","EMT ROUND J BOX WITH COVER 3/4"" 1WAY"
97%,"EMT ROUND J BOX WITH COVER 3/4"" 4WAY","EMT ROUND J BOX WITH COVER 3/4"" 3WAY"
97%,"EMT ROUND J BOX WITH COVER 1/2"" 4WAY","EMT ROUND J BOX WITH COVER 1/2"" 1WAY"
97%,"EMT ROUND J BOX WITH COVER 1/2"" 4WAY","EMT ROUND J BOX WITH COVER 1/2"" 3WAY"
97%,"EMT ROUND J BOX WITH COVER 3/4"" 1WAY","EMT ROUND J BOX WITH COVER 3/4"" 3WAY"
97%,"EMT ROUND J BOX WITH COVER 1/2"" 1WAY","EMT ROUND J BOX WITH COVER 1/2"" 3WAY"
97%,G I CABLE TRAY 3'' WITH COVER- 2.44MTR,G I CABLE TRAY 6''WITH COVER- 2.44MTR
97%,LED FITTING W DIFFUCER 2FT 48W - MAX,LED FITTING W DIFFUCER 2FT 24W - MAX
97%,LED FITTING W DIFFUCER 2FT 48W - MAX,LED FITTING W DIFFUCER 2FT 24W -MAX
97%,LED FITTING W DIFFUCER 2FT 48W - MAX,LED FITTING W DIFFUCER 2FT 40W-MAX
97%,LED FITTING W DIFFUCER 2FT 24W - MAX,LED FITTING W DIFFUCER 2FT 40W-MAX
97%,LED FITTING W DIFFUCER 2FT 24W -MAX,LED FITTING W DIFFUCER 2FT 40W-MAX
97%,"LED SURFACE LIGHT SQ 8"" 20W WH -TECO","LED SURFACE LIGHT SQ 8"" 20W WW -TECO"
97%,"LED SURFACE LIGHT RD 8"" 20W WW -TECO","LED SURFACE LIGHT RD 8"" 20W WH -TECO"
97%,LAMP HALOSPOT 12V 35W G53 AR111 - GE,LAMP HALOSPOT 12V 75W G53 AR111 - GE
97%,CABLE FLEXIBLE 3CX1.0MM - 80YDS MESC,CABLE FLEXIBLE 3CX4.0MM  80YDS -MESC
97%,CABLE FLEXIBLE 3CX1.0MM - 80YDS MESC,CABLE FLEXIBLE 3Cx1.5MM - 80YDS - (MESC)
97%,CABLE FLEXIBLE 4CX2.5MM 80YDS - MESC,CABLE FLEXIBLE 3CX2.5MM - 80YDS (MESC)
97%,CABLE FLEXIBLE 3Cx1.5MM - 80YDS - (MESC),CABLE FLEXIBLE 3CX2.5MM - 80YDS (MESC)
97%,ALUMINIUM FLEX DUCT 150MM X 7.5MTR,ALUMINIUM FLEX DUCT 100MM X 7.5MTR
97%,ALUMINIUM FLEX DUCT 100MM X 7.5MTR,ALUMINIUM FLEX DUCT 200MM X 7.5MTR
97%,DISTRIBUTION BOARD 8+4 SPN - HYUNDAI,DISTRIBUTION BOARD 6+4 SPN - HYUNDAI
97%,DISTRIBUTION BOARD 6+2 TPN - HYUNDAI,DISTRIBUTION BOARD 4+2 TPN - HYUNDAI
97%,ELEMENT FOR SEALING MECHINE NO.400,ELEMENT FOR SEALING MECHINE NO.300
97%,EXTENSION REEL 13A 40MTR 4G - STANLY,EXTENSION REEL 13A 20MTR 4G - STANLY
97%,ULTIMATE 2G EURO MODULAR PLATE BSS,ULTIMATE 1G EURO MODULAR PLATE BSS
97%,INDUSTRIAL BELL 240V 250MM LEGRAND,INDUSTRIAL BELL 240V 150MM LEGRAND
97%,IND WALL SOCKET 380/415V 16A 3P+E,IND WALL SOCKET 380/415V 16A 3P+N+E
97%,MCCB 3P 100A W ENCLOSURE - SCHNEIDER,MCCB 2P 100A W ENCLOSURE-SCHNEIDER
97%,METAL HALLIDE/SODIUM BALLAST 1500W,METAL HALLIDE/SODIUM BALLAST 1000W
97%,PUSH TAPE STEEL WITH CASE 15MTR HD,PUSH TAPE STEEL WITH CASE 50MTR HD
97%,PUSH TAPE STEEL WITH CASE 50MTR HD,PUSH TAPE STEEL WITH CASE  60MTR HD
97%,WP SW SOCKET 13A 1G IP55 - SCHNEIDER,WP SW SOCKET 13A 2G IP55 - SCHNEIDER
97%,WP SW SOCKET 13A 1G IP66 - SCHNEIDER,WP SW SOCKET 13A 2G IP66 - SCHNEIDER
97%,SOLDERING IRON 80W 240V - GOOT/JAPAN,SOLDERING IRON 60W 240V - GOOT/JAPAN
97%,AUTO TRANSFORMER 220-110V 100VA SP,AUTO TRANSFORMER 220-110V 200VA SP
97%,AUTO TRANSFORMER 220-110V 100VA SP,AUTO TRANSFORMER 220-110V 300VA SP
97%,AUTO TRANSFORMER 220-110V 100VA SP,AUTO TRANSFORMER 220-110V 500VA SP
97%,AUTO TRANSFORMER 220-110V 200VA SP,AUTO TRANSFORMER 220-110V 300VA SP
97%,AUTO TRANSFORMER 220-110V 200VA SP,AUTO TRANSFORMER 220-110V 500VA SP
97%,AUTO TRANSFORMER 220-110V 300VA SP,AUTO TRANSFORMER 220-110V 500VA SP
97%,CORD END TERMINALS (BOOT LUG) 10.0MM,CORD END TERMINALS (BOOT LUG) 16.0MM
97%,CROCODILE CLIP W/COVER ( M ) RED/BLACK,CROCODILE CLIP W/COVER ( S ) RED/BLACK
97%,UNIVERSAL TWIN LNB FULL HD WP 8WAY,UNIVERSAL TWIN LNB FULL HD WP 2WAY
97%,UNIVERSAL TWIN LNB FULL HD WP 8WAY,UNIVERSAL TWIN LNB FULL HD WP 4WAY
97%,UNIVERSAL TWIN LNB FULL HD WP 2WAY,UNIVERSAL TWIN LNB FULL HD WP 4WAY
97%,LED FLOOD LIGHT 200W WW - MICROLITE,LED FLOOD LIGHT 200W WH - MICROLITE
97%,"LED SPOT LIGHT FITTING 3"" 7W (WW) - RR","LED SPOT LIGHT FITTING 3"" 7W (WH) - RR"
97%,LED FLOOD LIGHT 100W WH - MICROLITE,LED FLOOD LIGHT 200W WH - MICROLITE
97%,CABLE FLEXIBLE SINGLE CORE 0.50MM,CABLE FLEXIBLE SINGLE CORE 0.75MM
97%,CABLE FLEXIBLE SINGLE CORE 0.50MM,CABLE FLEXIBLE SINGLE CORE 1.50MM
97%,CABLE FLEXIBLE SINGLE CORE 0.50MM,CABLE FLEXIBLE SINGLE CORE 2.50MM
97%,CABLE FLEXIBLE SINGLE CORE 1.00MM,CABLE FLEXIBLE SINGLE CORE 1.50MM
97%,CABLE FLEXIBLE SINGLE CORE 1.50MM,CABLE FLEXIBLE SINGLE CORE 2.50MM
97%,PVC BLANK PLATE 3x6 - MALLIA SILVER,PVC BLANK PLATE 3X3 - MALLIA SILVER
97%,PVC SLOTTED TRUNKING 80X80MM - 2MTR,PVC SLOTTED TRUNKING 80X40MM - 2MTR
97%,SW SOCKET 13A 1G UNIVERSAL - REXANS,SW SOCKET 13A 2G UNIVERSAL - REXANS
97%,SW SOCKET 13A 1G - CLIPSAL/C VIVACE,SW SOCKET 13A 2G - CLIPSAL/C VIVACE
97%,SW SOCKET 13A 1G IVORY WHITE - VMAX,SW SOCKET 13A 2G IVORY WHITE - VMAX
97%,SW SOCKET 13A 2G - SCHNEIDER/VIVACE,SW SOCKET 13A 1G - SCHNEIDER/VIVACE
97%,SWITCH 16A 3G 2W - SCHNEIDER/VIVACE,SWITCH 16A 2G 2W - SCHNEIDER/VIVACE
97%,SWITCH 16A 3G 2W - SCHNEIDER/VIVACE,SWITCH 16A 3G 1W - SCHNEIDER/VIVACE
97%,SWITCH 16A 3G 2W - SCHNEIDER/VIVACE,SWITCH 16A 1G 2W - SCHNEIDER/VIVACE
97%,SWITCH 16A 2G 1W - SCHNEIDER/VIVACE,SWITCH 16A 2G 2W - SCHNEIDER/VIVACE
97%,SWITCH 16A 2G 1W - SCHNEIDER/VIVACE,SWITCH 16A 3G 1W - SCHNEIDER/VIVACE
97%,SWITCH 16A 2G 1W - SCHNEIDER/VIVACE,SWITCH 16A 1G 1W - SCHNEIDER/VIVACE
97%,SWITCH 16A 2G 2W - SCHNEIDER/VIVACE,SWITCH 16A 1G 2W - SCHNEIDER/VIVACE
97%,SWITCH 16A 3G 1W - SCHNEIDER/VIVACE,SWITCH 16A 1G 1W - SCHNEIDER/VIVACE
97%,SWITCH 16A 1G 2W - SCHNEIDER/VIVACE,SWITCH 16A 1G 1W - SCHNEIDER/VIVACE
97%,SWITCH 10A 4G 1W - SCHNEIDER/VIVACE,SWITCH 10A 4G 2W - SCHNEIDER/VIVACE
97%,SWITCH 20A 3x3 DP - SCHNEIDER/LISSE,SWITCH 50A 3x3 DP - SCHNEIDER/LISSE
97%,ALUMINIUM FLEX DUCT 125MM X 10MTR,ALUMINIUM FLEX DUCT 150MM X 10MTR
97%,ALUMINIUM FLEX DUCT 200MM X 10MTR,ALUMINIUM FLEX DUCT 100MM X 10MTR
97%,ALUMINIUM FLEX DUCT 150MM X 10MTR,ALUMINIUM FLEX DUCT 100MM X 10MTR
97%,DISTRIBUTION BOARD 4+2 TPN - AEOLEC,DISTRIBUTION BOARD 4+2 SPN - AEOLEC
97%,DRILL BIT HILTI 22 X 400MM  -SCREWZ,DRILL BIT HILTI 22 X 300MM  -SCREWZ
97%,DRILL BIT HILTI 22 X 300MM  -SCREWZ,DRILL BIT HILTI 25 X 300MM  -SCREWZ
97%,DRILL BIT HSS ASSORTED SET (19 PCS),DRILL BIT HSS ASSORTED SET (13 PCS)
97%,EXT SOCKET 13A 3W 3MTR HD - ALFANAR,EXT SOCKET 13A 4W 3MTR HD - ALFANAR
97%,IND MOBILE SOCKET 415V 16A 3P+N+E,IND MOBILE SOCKET 415V 63A 3P+N +E
97%,IND MOBILE SOCKET 415V 32A 3P+N+E,IND MOBILE SOCKET 415V 63A 3P+N +E
97%,IND MALE PLUG 415V 63A 3P+N+E - (PCE),IND MALE PLUG 415V 16A 3P+N+E (PCE)
97%,IND WALL SOCKET 220V 16A 2P+E (PCE),IND WALL SOCKET 220V 63A 2P+E - PCE
97%,IND WALL SOCKET 220V 63A 2P+E - PCE,IND WALL SOCKET 220V 32A 2P+E - (PCE)
97%,MCCB 3P 63A W ENCLOSURE-  SCHNEIDER,MCCB 2P 63A W ENCLOSURE - SCHNEIDER
97%,PRE INS. BUD TERMINAL 1.5MM FEMALE,PRE INS. BUD TERMINAL 2.5MM FEMALE
97%,WP SW SOCKET 13A 1G IP66 -(BG) XETEX,WP SW SOCKET 13A 2G IP66 -(BG) XETEX
97%,PLUG TOP 5A 3PIN,PLUG TOP 15A 3PIN
97%,DATA SOCKET RJ45 1G - MALLIA SILVER,DATA SOCKET  RJ45 2G - MALLIA SILVER
97%,CORD END TERMINALS (BOOT LUG) 1.0MM,CORD END TERMINALS (BOOT LUG) 1.5MM
97%,CORD END TERMINALS (BOOT LUG) 0.5MM,CORD END TERMINALS (BOOT LUG) 1.5MM
97%,CORD END TERMINALS (BOOT LUG) 0.5MM,CORD END TERMINALS (BOOT LUG) 2.5MM
97%,CORD END TERMINALS (BOOT LUG) 1.5MM,CORD END TERMINALS (BOOT LUG) 2.5MM
97%,NEUTRAL LINK 10WAY GREEN COVERING,NEUTRAL LINK  12WAY GREEN COVERING
97%,GUARDIAN COVER 3X3 CLEAR LOCKABLE,GUARDIAN COVER 3X6 CLEAR LOCKABLE
97%,LED DRIVE 12V 300W W PROOF-KOREA,LED DRIVE 24V 300W W PROOF-KOREA
97%,LED DRIVE 12V 300W W PROOF-KOREA,LED DRIVE 12V 200W W PROOF - KOREA
97%,LED DRIVE 12V 300W W PROOF-KOREA,LED DRIVE 12V 400W W PROOF-KOREA
97%,LED SOLAR SPIKE LIGHT 2W WH - MODI,LED SOLAR SPIKE LIGHT 2W WW - MODI
97%,LED E SAVING LAMP 7W E27 - LEXPLUS,LED E SAVING LAMP 9W E27 - LEXPLUS
97%,LED SOLAR STREET LIGHT 400W - MODI,LED SOLAR STREET LIGHT 300W - MODI
97%,LED SOLAR STREET LIGHT 400W - MODI,LED SOLAR STREET LIGHT 200W - MODI
97%,LED SOLAR STREET LIGHT 300W - MODI,LED SOLAR STREET LIGHT 200W - MODI
97%,LED FLOOD LIGHT 50W WH - MICROLITE,LED FLOOD LIGHT 50W WW - MICROLITE
97%,"LED PANEL RD 8"" 24W FLUSH WH - MODI","LED PANEL RD 8"" 24W FLUSH WW - MODI"
97%,LED DRIVE 12V 200W W PROOF - KOREA,LED DRIVE 12V 400W W PROOF-KOREA
97%,"LED DOWN LIGHT 6"" 20W WH - NAVIGATE","LED DOWN LIGHT 6"" 20W  WW - NAVIGATE"
97%,"LED PANEL RD 8"" 20W FLUSH WH -TECO","LED PANEL RD 8"" 20W FLUSH WW -TECO"
97%,CABLE FLEXIBLE SINGLE CORE 10MM,CABLE FLEXIBLE SINGLE CORE 1.00MM
97%,CABLE FLEXIBLE SINGLE CORE 10MM,CABLE FLEXIBLE SINGLE CORE 1.50MM
97%,CABLE FLEXIBLE 3CX2.5MM - 80YDS (RR),CABLE FLEXIBLE 4CX2.5MM 80YDS - RR
97%,CABLE FLEXIBLE 2CX1.5MM OVAL BLK,CABLE FLEXIBLE 2CX0.5MM OVAL - BLK
97%,PVC BOX FLUSH 3X6 DEEP - PRESICION,PVC BOX FLUSH 3X3 DEEP - PRESICION
97%,PVC CLIP FOR LED STRIP 5050 18MM,PVC CLIP FOR LED STRIP 5050 12MM
97%,PVC BLANK PLATE 3X6 FLUSH - BARAKA,PVC BLANK PLATE 3X3 FLUSH - BARAKA
97%,PVC JUNCTION BOX 25MM 2W THROUGH,PVC JUNCTION BOX 20MM 2W THROUGH
97%,SW SOCKET 13A 1G MAT BLACK - V MAX,SW SOCKET 13A 2G MAT BLACK - V MAX
97%,SW SOCKET 13A 1G - SCHNEIDER/ LISSE,SW SOCKET 13A 2G - SCHNEIDER / LISSE
97%,SW SOCKET METALIC 13A 2G  BSS - ZIA,SW SOCKET METALIC 13A 1G  BSS -ZIA
97%,SWITCH METAL 10A 1G 2W BSS - TENBY,SWITCH METAL 10A 3G 2W BSS - TENBY
97%,SWITCH METAL 10A 1G 2W BSS - TENBY,SWITCH METAL 10A 2G 2W BSS - TENBY
97%,SWITCH METAL 10A 3G 2W BSS - TENBY,SWITCH METAL 10A 2G 2W BSS - TENBY
97%,SWITCH 10A 2G 2W - SCHNEIDER / LISSE,SWITCH 10A 3G 2W - SCHNEIDER / LISSE
97%,SWITCH 10A 3G 1W - SCHNEIDER / LISSE,SWITCH 10A 1G 1W - SCHNEIDER / LISSE
97%,SWITCH 10A 3G 1W - SCHNEIDER / LISSE,SWITCH 10A 3G 2W - SCHNEIDER / LISSE
97%,SWITCH METALIC 10A 1G 2W BSS - ZIA,SWITCH METALIC 10A 2G 2W BSS - ZIA
97%,DIMMER SWITCH 500W 2G 2W - STARLUX,DIMMER SWITCH 500W 1G 2W - STARLUX
97%,DIMMER SWITCH 500W 1G 2W - STARLUX,DIMMER SWITCH 500W 1G 1W - STARLUX
97%,E SAVING LAMP 18W E27 WW - PHILIPS,E SAVING LAMP 11W E27 WW - PHILIPS
97%,E SAVING LAMP 18W E27 WW - PHILIPS,E SAVING LAMP 14W E27 WW - PHILIPS
97%,E SAVING LAMP 11W E27 DL - PHILIPS,E SAVING LAMP 14W E27 DL - PHILIPS
97%,E SAVING LAMP 11W E27 DL - PHILIPS,E SAVING LAMP 18W E27 DL - PHILIPS
97%,E SAVING LAMP 14W E27 DL - PHILIPS,E SAVING LAMP 18W E27 DL - PHILIPS
97%,E SAVING LAMP 11W E27 WW - PHILIPS,E SAVING LAMP 14W E27 WW - PHILIPS
97%,FLY KILLER TUBE T8 20W BL - LEKISE,FLY KILLER TUBE T8 10W BL - LEKISE
97%,FLY KILLER TUBE T8 15W BL - LEKISE,FLY KILLER TUBE T8 10W BL - LEKISE
97%,FLY KILLER TUBE T5 6W BL-TOSHIBA,FLY KILLER TUBE T5 8W Bl - TOSHIBA
97%,HALOGEN DICHR LAMP 220V 35W MR11,HALOGEN DICHR LAMP 220V 50W MR11
97%,HALOGEN DICHR LAMP 220V 20W MR11,HALOGEN DICHR LAMP 220V 50W MR11
97%,HALOGEN LAMP 240V 500W 117 - IMAGE,HALOGEN LAMP 240V 300W 117- IMAGE
97%,IND MOBILE SOCKET 415V 32A 3P+E,IND MOBILE SOCKET 415V 32A 3P+N+E
97%,IND MOBILE SOCKET 415V 63A 3P+E,IND MOBILE SOCKET 415V 63A 3P+N +E
97%,IND MALE PLUG 380/415V 32A  3P+E,IND MALE PLUG 380/415V 32A 3P+N+E
97%,METAL ENCLOSURE WP 200X200X150MM,METAL ENCLOSURE WP 300X200X150MM
97%,METAL ENCLOSURE WP 300X200X150MM,METAL ENCLOSURE WP 300X250X150MM
97%,PRE INS. BUD TERMINAL 1.5MM FEMALE,PRE INS. BUD TERMINAL 1.5MM MALE
97%,PRE INS. BUD TERMINAL 4/6MM MALE,PRE INS. BUD TERMINAL 4/6MM FEMALE
97%,PRE INS. BUD TERMINAL 2.5MM MALE,PRE INS. BUD TERMINAL 2.5MM FEMALE
97%,"RUBBER FOOT WHEEL SWIVAL BLACK 3""",RUBBER FOOT WHEEL SWIVAL BLACK 1''
97%,SOLDERING IRON 40W 240V - CROWNMAN,SOLDERING IRON 60W 240V - CROWNMAN
97%,WIRELESS DOOR BELL DC- MASTERPLUG,WIRELESS DOOR BELL AC- MASTERPLUG
97%,FIX BOLT (RAWL BOLT)  EYE HOOK 12MM,FIX BOLT (RAWL BOLT)  EYE HOOK 10MM
97%,CANDLE LAMP 60W 240V E14 - Philips,CANDLE LAMP 40W 240V E14 - PHILIPS
97%,RATCHET  SPANNER SINGLE SIDE 13MM,RATCHET  SPANNER SINGLE SIDE 17MM
97%,LED FLOOD LIGHT 100W WW - PRESTON,LED FLOOD LIGHT 150W WW - PRESTON
97%,LED FLOOD LIGHT 100W WW - PRESTON,LED FLOOD LIGHT 400W WW - PRESTON
97%,LED FLOOD LIGHT 100W WW - PRESTON,LED FLOOD LIGHT 200W WW - PRESTON
97%,LED FLOOD LIGHT 100W WW - ESSENCO,LED FLOOD LIGHT 100W WH - ESSENCO
97%,LED FLOOD LIGHT 100W WW - HYUNDAI,LED FLOOD LIGHT 100W WH - HYUNDAI
97%,LED FLOOD LIGHT 150W WW - PRESTON,LED FLOOD LIGHT 150W WH - PRESTON
97%,LED FLOOD LIGHT 400W WW - PRESTON,LED FLOOD LIGHT 200W WW - PRESTON
97%,LED FLOOD LIGHT 400W WW - PRESTON,LED FLOOD LIGHT 400W WH - PRESTON
97%,"LED PANEL RD 6"" 15W FLUSH WW - MAX","LED PANEL RD 6"" 15W FLUSH WH - MAX"
97%,"LED PANEL SQ 8"" 20W FLUSH WH - MAX","LED PANEL SQ 8"" 20W FLUSH WW - MAX"
97%,LED FLOOD LIGHT 200W WW - PRESTON,LED FLOOD LIGHT 200W WH - PRESTON
97%,LED FLOOD LIGHT 30W RGB - PRESTON,LED FLOOD LIGHT 50W RGB - PRESTON
97%,LED FLOOD LIGHT 400W WH - PRESTON,LED FLOOD LIGHT 200W WH - PRESTON
97%,LED SOLAR FLOOD LIGHT 200W - MODI,LED SOLAR FLOOD LIGHT 100W - MODI
97%,LED BATTEN FITTING 2X4FT HD - ZIA,LED BATTEN FITTING 1X4FT HD - ZIA
97%,"LED PANEL RD 8"" 20W FLUSH WW - MAX","LED PANEL RD 8"" 20W FLUSH WH - MAX"
97%,CABLE SINGLE CORE H.PROOF 1.0MM,CABLE SINGLE CORE H.PROOF 1.5MM
97%,CABLE SINGLE CORE H.PROOF 1.0MM,CABLE SINGLE CORE H.PROOF 6.0MM
97%,CABLE SINGLE CORE H.PROOF 1.0MM,CABLE SINGLE CORE H.PROOF 4.0MM
97%,CABLE SINGLE CORE H.PROOF 1.5MM,CABLE SINGLE CORE H.PROOF 2.5MM
97%,CABLE SINGLE CORE H.PROOF 6.0MM,CABLE SINGLE CORE H.PROOF 4.0MM
97%,CABLE FLEXIBLE SINGLE CORE 10MM,CABLE FLEXIBLE SINGLE CORE 16MM
97%,CABLE TIES ST STEEL 4.6 X 250MM,CABLE TIES ST STEEL 4.6 X 350MM
97%,CABLE TIES ST STEEL 4.6 X 250MM,CABLE TIES ST STEEL 4.6 X 200MM
97%,CABLE TIES ST STEEL 4.6 X 350MM,CABLE TIES ST STEEL 4.6 X 300MM
97%,CABLE TIES ST STEEL 4.6 X 200MM,CABLE TIES ST STEEL 4.6 X 300MM
97%,CABLE TIES ST STEEL 4.6 X 200MM,CABLE TIES ST STEEL 4.6 X 400MM
97%,CABLE TIES ST STEEL 4.6 X 300MM,CABLE TIES ST STEEL 4.6 X 400MM
97%,PVC BLANK PLATE 3X6 SURF - BARAKA,PVC BLANK PLATE 3X3 SURF - BARAKA
97%,SW SOCKET 13A 2G MAT GOLD - V MAX,SW SOCKET 13A 1G MAT GOLD - V MAX
97%,"FLEX HOSE BRAIDED 90CM 1/2""X1/2""","FLEX HOSE BRAIDED 30CM 1/2""X1/2"""
97%,"FLEX HOSE BRAIDED 90CM 1/2""X1/2""","FLEX HOSE BRAIDED 60CM 1/2""X1/2"""
97%,"FLEX HOSE BRAIDED 30CM 1/2""X1/2""","FLEX HOSE BRAIDED 60CM 1/2""X1/2"""
97%,CAPSULE LAMP 220V 20W G5.2 MR16,CAPSULE LAMP 220V 40W G5.2 MR16
97%,CAPSULE LAMP 220V 20W G5.2 MR16,CAPSULE LAMP 220V 50W G5.2 MR16
97%,CAPSULE LAMP 220V 40W G5.2 MR16,CAPSULE LAMP 220V 50W G5.2 MR16
97%,DISTRIBUTION BOARD 4W SPN - MAXGE,DISTRIBUTION BOARD 4W TPN - MAXGE
